SKU,QUANTITY
19011000138_ROSSO_640_31,8
19011000138_ROSSO_640_32,1
19011000138_ROSSO_640_33,3
19011000138_ROSSO_640_35,4
19011000138_ROSSO_640_36,1
19011000138_ROSSO_640_38,2
19011000138_ROSSO_640_42,2
1901921916212_AZZURRO_437_S,4
1901921916212_AZZURRO_437_M,2
18034100057_MARRONE_210_26,2
18034100057_MARRONE_210_29,1
18034100057_MARRONE_210_31,3
18034100057_MARRONE_210_32,2
FM0FM02741_BLU_DW5_40,1
18033011430_GRIGIO_92_S,1
18031500016_BLU_405_46,4
18031500016_BLU_405_52,1
18031500016_BLU_405_54,1
18037705047_BLU_410_46,1
19013016530_BLU_423_S,1
19033011430_BLU_442_S,3
18014100041-1_BLU_981_27-L34,1
M0YI24J1300_GRIGIO_LHY_2XL,3
59384-51932_NERO_199_XS,1
59252-52626_MARRONE_169_2XL,5
FW0FW05172F_VIOLA_XIH_36,1
FW0FW05347F_BIANCO_YBR_38,1
FW0FW05347F_BIANCO_YBR_39,2
KL20MBM09_AZZURRO_SKYNAVY_S,1
KL20MBM09_BIANCO_BLACKWHITE_S,69
KL20MBM09_BIANCO_BLACKWHITE_M,31
KL20MBM09_BIANCO_BLACKWHITE_L,13
KL20MBS01_BLU_NAVY_S,22
KL20MBS01_BLU_NAVY_M,26
KL20MBS01_BLU_NAVY_L,8
KL20MBM03_BIANCO_WHITE_S,7
RW01-A-VAIL-054_BLU_NAVY-YELLOW_40,1
20017006049_BEIGE_277_S,1
59496-51063_BEIGE_408_33,1
KL20MBM07_ROSSO_RED_S,44
KL20MBM07_ROSSO_RED_M,20
M1RI82J1311_GRIGIO_LHY_2XL,18
19017705063_BIANCO_113_46,4
19017705063_BIANCO_113_48,8
19017705063_BIANCO_113_50,12
19017705063_BIANCO_113_52,5
1300200041_AZZURRO_981_30,8
1300200041_AZZURRO_981_31,4
1300200041_AZZURRO_981_32,8
1300200041_AZZURRO_981_36,5
M1GI66K8HM0_GRIGIO_LHY_L,9
M1GI66K8HM0_GRIGIO_LHY_XL,19
M1GI66K8HM0_GRIGIO_LHY_2XL,28
QS6685E_NERO_UB1_XS,4
QS6685E_NERO_UB1_S,6
